InstanceSize,Epsilon,MaximumRelativeError,AverageTime
10,0.10000000149011612,0.09746738296239447,53.388
10,0.30000001192092896,0.29259390085953135,16.73
10,0.5,0.46578073089700994,10.734
10,0.699999988079071,0.623639661426844,8.236
10,0.8999999761581421,0.623639661426844,6.208
10,0.10000000149011612,0.09746738296239447,47.9
10,0.30000001192092896,0.29259390085953135,20.116
10,0.5,0.46578073089700994,11.668
10,0.699999988079071,0.623639661426844,9.334
10,0.8999999761581421,0.623639661426844,6.806
15,0.10000000149011612,0.09920395278616524,180.938
15,0.30000001192092896,0.2754601226993865,55.662
15,0.5,0.4559386973180077,38.718
15,0.699999988079071,0.594954954954955,25.098
15,0.8999999761581421,0.7709320695102686,20.228
15,0.10000000149011612,0.09920395278616524,172.708
15,0.30000001192092896,0.2754601226993865,56.41
15,0.5,0.4559386973180077,35.68
15,0.699999988079071,0.594954954954955,24.818
15,0.8999999761581421,0.7709320695102686,19.592
20,0.10000000149011612,0.09938793354707083,458.398
20,0.30000001192092896,0.28455696202531644,139.926
20,0.5,0.43005396430053966,81.472
20,0.699999988079071,0.43005396430053966,59.97
20,0.8999999761581421,0.43005396430053966,47.458
20,0.10000000149011612,0.09938793354707083,392.226
20,0.30000001192092896,0.28455696202531644,105.836
20,0.5,0.43005396430053966,65.448
20,0.699999988079071,0.43005396430053966,37.802
20,0.8999999761581421,0.43005396430053966,29.826
22,0.10000000149011612,0.0995365449211276,398.048
22,0.30000001192092896,0.27848101265822783,128.214
22,0.5,0.45913190529875986,75.904
22,0.699999988079071,0.5482658959537572,56.838
22,0.8999999761581421,0.5482658959537572,42.016
22,0.10000000149011612,0.0995365449211276,404.362
22,0.30000001192092896,0.27848101265822783,123.018
22,0.5,0.45913190529875986,87.64
22,0.699999988079071,0.5482658959537572,53.736
22,0.8999999761581421,0.5482658959537572,40.314
4,0.10000000149011612,0.09752438109527382,2.04
4,0.30000001192092896,0.2998102466793169,1.532
4,0.5,0.49601769911504423,0.486
4,0.699999988079071,0.6955869108375863,0.392
4,0.8999999761581421,0.8211920529801324,0.442
4,0.10000000149011612,0.09752438109527382,1.826
4,0.30000001192092896,0.2998102466793169,0.43
4,0.5,0.49601769911504423,0.406
4,0.699999988079071,0.6955869108375863,0.514
4,0.8999999761581421,0.8211920529801324,0.422
