InstanceSize,Algorithm,AverageTime,VisitedStates,MaximumTime
10,BruteForce,50.9832,0,99
10,BranchAndBound,32.8576,0,58
10,DynamicProgrammingWeight,39.604,0,79
10,GreedyHeuristic,3.0924,0,5
10,DynamicProgrammingPrice,1209.21,0,2370
15,BruteForce,2015.9932,0,4014
15,BranchAndBound,126.4316,0,239
15,DynamicProgrammingWeight,85.196,0,166
15,GreedyHeuristic,1.4572,0,3
15,DynamicProgrammingPrice,2597.6396,0,5157
20,BruteForce,76797.5908,0,150954
20,BranchAndBound,632.2996,0,1263
20,DynamicProgrammingWeight,169.7152,0,342
20,GreedyHeuristic,2.6076,0,5
20,DynamicProgrammingPrice,5309.6052,0,10575
22,BruteForce,305890.128,0,611029
22,BranchAndBound,1377.0224,0,2681
22,DynamicProgrammingWeight,205.4504,0,395
22,GreedyHeuristic,2.3376,0,5
22,DynamicProgrammingPrice,7545.732,0,15229
4,BruteForce,0,0,0
4,BranchAndBound,1.6884,0,4
4,DynamicProgrammingWeight,4.3856,0,9
4,GreedyHeuristic,0.1968,0,1
4,DynamicProgrammingPrice,174.4476,0,371
