GenerationId,BestPrice,AveragePrice
0,2707,2114.425
1,2792,2204.3125
2,2792,2296.55
3,2882,2314.575
4,3145,2408.225
5,3145,2513.6
6,3145,2539.3125
7,3145,2620.6625
8,3145,2627.675
9,3145,2589.95
10,3186,2616.1625
11,3214,2584.0125
12,3239,2689.8625
13,3353,2713.3125
14,3353,2799.3875
15,3353,2847.3125
16,3353,2822.525
17,3353,2863.225
18,3353,2852.575
19,3495,2823.7625
20,3495,2801.8625
21,3495,2784.975
22,3557,2826.425
23,3557,2867.675
24,3557,2873.35
25,3565,2832.35
26,3565,2839.1375
27,3565,2785.4625
28,3565,2895.5625
29,3567,2858.1375
30,3567,2945.175
31,3567,2872.225
32,3567,2970.375
33,3567,2982.05
34,3567,3010.075
35,3628,2963.25
36,3628,2903.4125
37,3628,2906.8125
38,3628,2964.2
39,3628,2962.55
40,3628,2984.1375
41,3628,3068.4875
42,3628,3002.55
43,3628,3030.275
44,3666,3088.2375
45,3666,3049.5375
46,3666,3077.55
47,3666,3032.2125
48,3666,2980.9875
49,3666,3007.425
50,3666,2998.8875
51,3666,2984.625
52,3666,2966.2125
53,3666,2899.8125
54,3666,3015.575
55,3666,3021
56,3666,2964.6125
57,3666,2914.4375
58,3666,2907.9375
59,3666,2918.575
60,3742,2950.4
61,3742,3000.45
62,3742,3027
63,3742,3050.55
64,3742,3030.2875
65,3742,2991.65
66,3742,3006.8875
67,3742,3077.975
68,3742,3104.6875
69,3742,3004.425
70,3742,2977.55
71,3742,3064.8875
72,3742,3084.725
73,3742,3034.475
74,3742,3060.95
75,3742,2972.3625
76,3742,2974.9625
77,3742,2927.1
78,3742,2946.3375
79,3742,3025.325
