Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
wuf-A1\wuf20-88-A1,0.08792871203972236,1,0,0,1068.5166666666667
wuf-A1\wuf20-91-A1,0.0412521129428623,0.9766666666666666,1.3333333333333333,1.3333333333333333,1078.49
wuf-M1\wuf20-78-M1,0.00026113029353427825,1,0,0,1099.32
wuf-M1\wuf50-201-M1,0.14757776917295493,0.5784313725490197,2.331439393939394,3.3333333333333335,1369.7745098039213
wuf-N1\wuf20-78-N1,0.0001921435773750283,1,0,0,1139.4033333333334
wuf-N1\wuf50-201-N1,0.15242732018532043,0.6568627450980392,2.1771561771561774,3,1359.3333333333333
wuf-Q1\wuf20-78-Q1,0.02661874047874185,1,0,0,978.5633333333334
wuf-Q1\wuf50-201-Q1,0.49213789107578526,0.38235294117647056,2.4913419913419914,4,1364.1470588235295
wuf-R1\wuf20-78-R1,0.03063311526390534,1,0,0,981.4499999999999
wuf-R1\wuf50-201-R1,0.48469133098798184,0.3137254901960784,2.45959595959596,4,1366.343137254902
