MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses,AdaptiveMutationRate
11694037,11042275.98,0,18590,287,0.01
11739275,11132361.2525,1,23147,288,0.01998089131639229
11860950,11209505.725,2,22779,291,0.019981489397238088
11860950,11260214.35,3,22779,291,0.019981923994794103
11943466,11330599.8575,4,23933,293,0.01998127029669332
11943466,11391765.3,5,23933,293,0.019981199378743424
12067757,11461128.3725,6,26181,296,0.019983934023592578
12109687,11489413.7675,7,27430,297,0.019983500081074378
12109687,11516909.01,8,27430,297,0.01998538057836641
12110148,11552564.8675,9,27891,297,0.01998412179067666
12110148,11582258.9,10,27891,297,0.019983934795207742
12110449,11618353.05,11,28192,297,0.01998378834557053
12110449,11631555.9875,12,28192,297,0.019985227894087153
12148963,11689172.225,13,26025,298,0.019986283254117058
12193326,11725540.765,14,29707,299,0.019985541596907623
12267807,11764627.8075,15,22826,301,0.019986272031539954
12353339,11817575.015,16,26996,303,0.01998758122818115
12353339,11849265.295,17,26996,303,0.019986638495975848
12356681,11864727.485,18,30338,303,0.01998614749099836
12437161,11913462.2775,19,29456,305,0.019986354257160714
12437161,11938026.07,20,29456,305,0.0199867478057335
12437161,11961649.3675,21,29456,305,0.019986761882902312
12437161,11989495.8275,22,29456,305,0.019985822574136582
12516537,11999405.115,23,27470,307,0.01998607691931348
12517877,12022286.3625,24,28810,307,0.019986125149591773
12519047,12083878.64,25,29980,307,0.019986660912111435
12519047,12113587.18,26,29980,307,0.01998835347861967
12519047,12136219.555,27,29980,307,0.019988896958298648
12519047,12150099.97,28,29980,307,0.019989727542532018
12519047,12143736.1375,29,29980,307,0.01998831357628343
12560897,12155839.195,30,31149,308,0.019989141050034666
12561187,12170915.5325,31,31439,308,0.01998905826704344
12561187,12170086.3475,32,31439,308,0.019988226244540185
12561187,12189741.52,33,31439,308,0.019989756152295163
12603476,12180100.3575,34,33047,309,0.01998905018181758
12603476,12195448.8125,35,33047,309,0.01998854196902934
12603476,12221889.2325,36,33047,309,0.019989393826383317
12603476,12222264.8,37,33047,309,0.019989677242737446
12604020,12229938.905,38,33591,309,0.01998924425509694
12604445,12227505.8375,39,34016,309,0.019990320601166095
12604445,12221662.1325,40,34016,309,0.0199889203238659
12604445,12223582.585,41,34016,309,0.019988643707774912
12604445,12227153.0725,42,34016,309,0.019989037866130373
12604445,12220428.5575,43,34016,309,0.019989081428485878
12604445,12213902.665,44,34016,309,0.01998884169094308
12604445,12223682.3325,45,34016,309,0.019988934878908182
12604445,12229380.1675,46,34016,309,0.019989023610490726
12604445,12239812.0525,47,34016,309,0.019989264947879695
12604445,12243870.4925,48,34016,309,0.019990079497248067
12641606,12258885.35,49,30496,310,0.01998923203685952
12641606,12276893.6425,50,30496,310,0.019989962472829578
12642759,12276804.4125,51,31649,310,0.019989452592149255
12642759,12284039.5025,52,31649,310,0.019989722750319006
12643104,12272559.5125,53,31994,310,0.019988281341838818
12643104,12280812.105,54,31994,310,0.01998959586066281
12643104,12272369.095,55,31994,310,0.019990082528996728
12643104,12267345.155,56,31994,310,0.019989306019872984
12643104,12258211.7325,57,31994,310,0.019989199073297336
12643124,12273750.5475,58,32014,310,0.019989030032885168
12643124,12289421.29,59,32014,310,0.01998931450061163
12643124,12298590.15,60,32014,310,0.01998974196863471
12643235,12286240.8825,61,32125,310,0.019989984627652037
12644111,12273157.935,62,33001,310,0.01998936386447678
12644643,12279905.5575,63,33533,310,0.019988753674912353
12644643,12312789.575,64,33533,310,0.01998948970856707
12644643,12312592.8825,65,33533,310,0.01998936447326937
12644643,12302425.4175,66,33533,310,0.019988587275934486
12644643,12324389.8125,67,33533,310,0.019990246396298105
12644643,12297342.4925,68,33533,310,0.019990485129102554
12644643,12286477.9925,69,33533,310,0.019989532480202694
12644643,12292158.55,70,33533,310,0.019989642356462008
12645034,12302821.6875,71,33924,310,0.019989454051300388
12645068,12296456.2425,72,33958,310,0.019990043911727307
12645068,12300850.5825,73,33958,310,0.019990488911744535
12645068,12283344.695,74,33958,310,0.019989142981647598
12645068,12287868.9325,75,33958,310,0.01998898398053098
12645068,12305139.97,76,33958,310,0.01998989747234724
12645068,12305677.6,77,33958,310,0.0199892683789724
12645068,12307816.6375,78,33958,310,0.019989699498165984
12645068,12310921.665,79,33958,310,0.019990266471851998
12645068,12307581.4325,80,33958,310,0.019990651074681294
12645068,12302139.4625,81,33958,310,0.019990011002974643
12645588,12309758.42,82,34478,310,0.01999005229407914
12645588,12303374.54,83,34478,310,0.019990238913133732
12645588,12308957.4975,84,34478,310,0.01999064771274409
12645588,12301598.3825,85,34478,310,0.019990146524215716
12645588,12315102.57,86,34478,310,0.01999073599978615
12645588,12325658.135,87,34478,310,0.019990510553175914
12645588,12316560.67,88,34478,310,0.01999065845510256
12645588,12330504.5625,89,34478,310,0.019990816067680738
12645588,12328795.66,90,34478,310,0.019990612573693202
12645588,12322798.6875,91,34478,310,0.01999094723873054
12645588,12307046.05,92,34478,310,0.019989692982768856
12645588,12307058.6925,93,34478,310,0.019990466787604008
12645588,12322450.9925,94,34478,310,0.019990843247407117
12645588,12324668.3875,95,34478,310,0.019989982126125155
12645588,12330578.1175,96,34478,310,0.019990537932648395
12645588,12344389.225,97,34478,310,0.01999040146957019
12645588,12327159.4175,98,34478,310,0.019990331651850192
12645588,12328523.7675,99,34478,310,0.019989975971201997
